Flight No.,"Version,Booster[b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Date,Time
1,F9 v1.0[7]B0003.1[8],CCAFS,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,"Success
",Failure[9][10](parachute),4,June
1,F9 v1.0[7]B0004.1[8],CCAFS,Dragon,,LEO,NASA,Success,Failure[9][14](parachute),4,June
2,F9 v1.0[7]B0005.1[8],CCAFS,Dragon,525 kg,LEO,NASA,Success,No attempt,8,December
3,F9 v1.0[7]B0006.1[8],CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",No attempt,22,May
4,F9 v1.0[7]B0007.1[8],CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",No attempt,8,October
5,F9 v1.1[7]B1003[8],VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,Uncontrolled(ocean)[d],1,March
6,F9 v1.1B1004,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,No attempt[38],29,September
7,F9 v1.1,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,No attempt[43],3,December
8,F9 v1.1,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",Controlled(ocean)[d][46],6,January
9,F9 v1.1,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,Controlled(ocean)[d][46],18,April
10,F9 v1.1,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,No attempt[57],14,July
11,F9 v1.1B1011[8],Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,No attempt,5,August
12,F9 v1.1B1010[8],Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,Uncontrolled(ocean)[d][64],7,September
13,F9 v1.1B1012[8],Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,Failure(drone ship),21,September
14,F9 v1.1B1013[8],Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",Controlled(ocean)[d],10,January
15,F9 v1.1B1014[8],Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",No attempt[77],11,February
